"","name","release","directors"
"1","
The Phantom Menace
","
Released: 1999-05-19
","George Lucas"
"2","
Attack of the Clones
","
Released: 2002-05-16
","George Lucas"
"3","
Revenge of the Sith
","
Released: 2005-05-19
","George Lucas"
"4","
A New Hope
","
Released: 1977-05-25
","George Lucas"
"5","
The Empire Strikes Back
","
Released: 1980-05-17
","Irvin Kershner"
"6","
Return of the Jedi
","
Released: 1983-05-25
","Richard Marquand"
"7","
The Force Awakens
","
Released: 2015-12-11
","J. J. Abrams"
